unit_id,watershed_feature_id,fwa_watershed_code,gnis_name,area_ha
shingle_incl_shatford,12509,300-432687-624482-311793-648579-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,,2372.3
shingle_incl_shatford,12510,300-432687-624482-481270-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,,3418.1
shingle_incl_shatford,12511,300-432687-624482-637843-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Riddle Creek,3419.0
shorts,12582,300-432687-904947-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Shorts Creek,4410.5
shorts,12583,300-432687-904947-210864-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Stuart Creek,2425.9
shorts,12584,300-432687-904947-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Shorts Creek,4284.2
shorts,12585,300-432687-904947-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Shorts Creek,4412.7
shorts,12586,300-432687-904947-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Shorts Creek,3023.6
shuttleworth,12499,300-432687-570641-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Shuttleworth Creek,8996.0
trepanier,12542,300-432687-745548-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Trépanier Creek,9892.9
trepanier,12543,300-432687-745548-196867-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Jack Creek,4007.2
trepanier,12544,300-432687-745548-592664-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,MacDonald Creek,3259.4
trepanier,12545,300-432687-745548-613573-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Lacoma Creek,4809.5
trepanier,12546,300-432687-745548-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Trépanier Creek,4035.3
trout,12517,300-432687-657912-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Trout Creek,7169.4
trout,12518,300-432687-657912-271974-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Darke Creek,7766.5
trout,12519,300-432687-657912-360055-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Isintok Creek,4644.7
